Date,Key,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential
2020-02-15,JP_29,-1.0,8.0,-15.0,-7.0,3.0,1.0
2020-02-15,JP_30,-6.0,4.0,-4.0,-10.0,4.0,1.0
2020-02-15,JP_31,-3.0,6.0,21.0,-1.0,6.0,-1.0
2020-02-15,JP_32,1.0,6.0,12.0,1.0,8.0,-1.0
2020-02-15,JP_33,0.0,4.0,12.0,-1.0,4.0,0.0
2020-02-15,JP_34,-1.0,3.0,-5.0,-4.0,5.0,0.0
2020-02-15,JP_35,1.0,3.0,10.0,3.0,3.0,0.0
2020-02-15,JP_36,-2.0,4.0,0.0,1.0,4.0,0.0
2020-02-15,JP_37,-3.0,3.0,6.0,1.0,4.0,0.0
2020-02-15,JP_38,-4.0,3.0,-3.0,-1.0,2.0,1.0
2020-02-15,JP_40,-1.0,4.0,7.0,-3.0,4.0,0.0
2020-02-15,JP_41,-3.0,2.0,-9.0,-3.0,4.0,0.0
2020-02-15,JP_42,-2.0,2.0,-11.0,-7.0,2.0,0.0
2020-02-15,JP_43,2.0,4.0,0.0,3.0,4.0,0.0
2020-02-15,JP_45,-1.0,0.0,-16.0,-6.0,2.0,2.0
2020-02-15,JP_46,-3.0,1.0,-18.0,-2.0,2.0,1.0
2020-02-15,JP_47,1.0,1.0,9.0,2.0,3.0,0.0
2020-02-15,KE,2.0,2.0,10.0,7.0,2.0,-1.0
2020-02-15,KG,7.0,7.0,3.0,3.0,10.0,-2.0
2020-02-15,KH,2.0,0.0,2.0,-17.0,5.0,0.0
2020-02-15,KR,-4.0,0.0,3.0,-6.0,1.0,3.0
2020-02-15,KW,3.0,6.0,3.0,3.0,3.0,1.0
2020-02-15,KZ,7.0,5.0,1.0,4.0,6.0,-1.0
2020-02-15,LA,0.0,4.0,-1.0,-9.0,5.0,1.0
2020-02-15,LB,7.0,0.0,17.0,0.0,1.0,-2.0
2020-02-15,LI,17.0,4.0,,,,
2020-02-15,LK,3.0,1.0,5.0,3.0,3.0,1.0
2020-02-15,LT,2.0,4.0,44.0,9.0,1.0,-1.0
2020-02-15,LU,-2.0,-1.0,40.0,4.0,-2.0,-2.0
